"","CO_ID","CoName","Date","Close","Volume"
"2289","006205 ","FB SSE180_0  ",20130827,19.84,4482
"2290","0050   ","Yuanta Taiwan Top50",20130828,45.42,9583
"2291","0056   ","PTD          ",20130828,17.83,1502
"2292","006205 ","FB SSE180_0  ",20130828,19.9,5001
"2293","0050   ","Yuanta Taiwan Top50",20130829,46.04,12791
"2294","0056   ","PTD          ",20130829,17.93,519
"2295","006205 ","FB SSE180_0  ",20130829,19.86,4544
"2296","0050   ","Yuanta Taiwan Top50",20130830,46.33,11435
"2297","0056   ","PTD          ",20130830,18.04,1395
"2298","006205 ","FB SSE180_0  ",20130830,19.98,4725
"2299","0050   ","Yuanta Taiwan Top50",20130902,46.71,20804
"2300","0056   ","PTD          ",20130902,18.19,1570
"2301","006205 ","FB SSE180_0  ",20130902,19.97,5008
"2302","0050   ","Yuanta Taiwan Top50",20130903,47,20556
"2303","0056   ","PTD          ",20130903,18.33,4636
"2304","006205 ","FB SSE180_0  ",20130903,20,6526
"2305","0050   ","Yuanta Taiwan Top50",20130904,46.91,10480
"2306","0056   ","PTD          ",20130904,18.33,1651
"2307","006205 ","FB SSE180_0  ",20130904,20.06,5106
"2308","0050   ","Yuanta Taiwan Top50",20130905,47.2,21411
"2309","0056   ","PTD          ",20130905,18.45,2477
"2310","006205 ","FB SSE180_0  ",20130905,20.13,5366
"2311","0050   ","Yuanta Taiwan Top50",20130906,47.29,22393
"2312","0056   ","PTD          ",20130906,18.46,1211
"2313","006205 ","FB SSE180_0  ",20130906,20.15,5032
"2314","0050   ","Yuanta Taiwan Top50",20130909,47.45,17058
"2315","0056   ","PTD          ",20130909,18.45,783
"2316","006205 ","FB SSE180_0  ",20130909,20.9,5059
"2317","0050   ","Yuanta Taiwan Top50",20130910,47.58,23422
"2318","0056   ","PTD          ",20130910,18.5,1879
"2319","006205 ","FB SSE180_0  ",20130910,20.92,7583
"2320","0050   ","Yuanta Taiwan Top50",20130911,47.7,20577
"2321","0056   ","PTD          ",20130911,18.5,1849
"2322","006205 ","FB SSE180_0  ",20130911,21.08,8904
"2323","0050   ","Yuanta Taiwan Top50",20130912,47.74,12988
"2324","0056   ","PTD          ",20130912,18.54,826
"2325","006205 ","FB SSE180_0  ",20130912,21.23,6212
"2326","0050   ","Yuanta Taiwan Top50",20130913,47.37,5616
"2327","0056   ","PTD          ",20130913,18.45,723
"2328","006205 ","FB SSE180_0  ",20130913,21.01,5987
"2329","0050   ","Yuanta Taiwan Top50",20130914,47.37,6236
"2330","0056   ","PTD          ",20130914,18.45,322
"2331","006205 ","FB SSE180_0  ",20130914,20.91,2225
"2332","0050   ","Yuanta Taiwan Top50",20130916,47.95,14816
"2333","0056   ","PTD          ",20130916,18.61,2305
"2334","006205 ","FB SSE180_0  ",20130916,21,5137
"2335","0050   ","Yuanta Taiwan Top50",20130917,47.91,6240
"2336","0056   ","PTD          ",20130917,18.57,1410
"2337","006205 ","FB SSE180_0  ",20130917,20.84,5060
"2338","0050   ","Yuanta Taiwan Top50",20130918,47.74,14816
"2339","0056   ","PTD          ",20130918,18.6,995
"2340","006205 ","FB SSE180_0  ",20130918,20.7,5291
"2341","0050   ","Yuanta Taiwan Top50",20130923,48.12,10272
"2342","0056   ","PTD          ",20130923,18.66,1003
"2343","006205 ","FB SSE180_0  ",20130923,20.83,5032
"2344","0050   ","Yuanta Taiwan Top50",20130924,48.16,10109
"2345","0056   ","PTD          ",20130924,18.65,716
"2346","006205 ","FB SSE180_0  ",20130924,20.67,5064
